ship_date,origin_zone,dest_zone,carrier,service_level,package_weight_lbs,package_length_in,package_width_in,package_height_in,package_volume_cubic_in,insurance_value,transit_time_days,shipping_cost_usd
2024-11-07,1,5,OnTrac,OVERNIGHT,3.65,14.7,10.8,4.4,699.61,454.19,1.77,26.21
2024-05-24,9,2,OnTrac,OVERNIGHT,0.89,11.6,8.6,1.9,185.44,849.62,1.36,23.14
2023-06-29,4,4,USPS,OVERNIGHT,0.71,10.2,6.5,1.5,98.23,1208.02,1.2,23.09
2024-04-19,9,7,Amazon_Logistics,EXPRESS,2.67,12.7,9.4,4.9,586.71,903.93,3.18,15.99
2023-11-17,3,7,UPS,OVERNIGHT,4.52,17.0,14.2,5.0,1195.98,562.96,1.53,31.74
2023-12-08,2,2,FedEx,PRIORITY,6.7,22.6,21.3,12.0,5762.83,202.47,3.72,22.3
2023-06-04,5,1,LaserShip,PRIORITY,5.2,16.3,9.6,6.4,1009.6,924.26,4.43,12.83
2024-03-11,2,9,USPS,STANDARD,3.6,17.8,13.6,4.7,1128.04,1660.52,7.35,14.95
2024-01-25,4,2,Amazon_Logistics,PRIORITY,1.38,12.4,7.4,3.1,289.47,1325.91,3.03,13.27
2023-07-07,2,4,LaserShip,PRIORITY,1.41,13.2,9.8,2.6,341.51,766.45,4.83,13.35
2024-05-28,3,6,DHL,PRIORITY,3.2,17.1,13.7,5.0,1178.36,426.92,5.27,24.52
2024-09-10,3,9,UPS,OVERNIGHT,4.35,15.9,13.2,8.4,1768.99,497.17,2.01,38.22
2023-10-17,5,9,DHL,STANDARD,3.26,13.9,12.7,2.4,430.89,1372.38,8.79,18.87
2023-09-07,4,1,LaserShip,OVERNIGHT,4.5,18.2,11.2,5.8,1182.31,808.32,1.88,21.19
2023-01-17,6,4,USPS,EXPRESS,5.33,14.7,11.4,9.1,1525.11,1003.47,2.29,20.91
2024-07-23,3,5,OnTrac,STANDARD,2.62,14.1,12.1,3.6,610.38,500.79,7.23,9.51
2024-01-24,5,7,Amazon_Logistics,ECONOMY,0.76,10.3,8.2,2.0,169.17,804.81,8.09,8.44
2024-09-25,9,8,FedEx,EXPRESS,1.62,11.6,8.3,2.9,280.83,1514.01,3.78,24.81
2023-11-16,3,3,LaserShip,OVERNIGHT,4.97,16.4,11.9,5.7,1113.74,850.1,1.7,30.59
2023-06-06,7,8,USPS,STANDARD,0.61,9.8,8.2,2.0,160.81,510.31,8.97,11.9
2024-06-16,2,9,Amazon_Logistics,OVERNIGHT,3.02,19.4,12.7,7.3,1795.33,1539.51,2.28,33.49
2023-02-10,5,7,UPS,OVERNIGHT,2.52,12.6,10.4,4.1,531.38,912.91,1.24,31.0
2023-03-21,9,3,OnTrac,PRIORITY,1.05,8.9,8.4,1.7,129.12,1826.13,3.51,12.14
2024-11-30,9,4,LaserShip,PRIORITY,3.53,15.1,9.6,4.1,604.05,754.09,3.27,12.83
2023-02-16,9,1,FedEx,ECONOMY,0.59,10.3,8.6,1.6,144.15,655.07,8.24,5.98
2023-02-26,6,5,USPS,OVERNIGHT,2.93,14.4,11.4,3.6,586.67,125.27,1.69,21.53
2023-07-31,2,8,Amazon_Logistics,OVERNIGHT,1.7,14.2,9.4,2.5,330.71,1956.19,1.7,27.18
2024-08-06,3,8,Amazon_Logistics,EXPRESS,0.87,11.2,7.3,2.3,187.57,338.6,3.72,23.39
2023-10-24,7,4,Amazon_Logistics,ECONOMY,0.67,9.8,7.4,1.7,125.06,1512.98,9.51,6.96
2023-02-05,5,7,OnTrac,EXPRESS,6.45,16.4,13.0,8.0,1712.4,1303.26,3.32,30.3
2024-09-23,8,2,DHL,ECONOMY,3.07,14.9,10.1,3.4,502.31,457.15,8.79,10.25
2024-07-14,9,4,UPS,OVERNIGHT,0.56,10.5,7.9,1.7,145.22,448.23,1.29,31.2
2024-03-14,4,2,USPS,OVERNIGHT,1.62,12.3,7.9,3.1,297.24,1720.67,1.03,22.82
2023-01-10,4,5,USPS,ECONOMY,5.56,16.1,10.6,8.4,1441.8,975.97,11.77,11.19
2024-05-12,8,4,Amazon_Logistics,EXPRESS,9.37,20.7,16.3,12.9,4363.56,1616.92,2.94,34.79
2024-11-19,2,7,FedEx,OVERNIGHT,4.75,19.0,15.6,6.9,2034.51,852.92,1.53,37.48
2024-09-27,2,1,DHL,OVERNIGHT,8.64,22.1,17.6,11.1,4330.08,1459.15,2.01,38.14
2024-10-15,4,4,LaserShip,OVERNIGHT,3.41,15.0,9.2,3.7,513.03,1077.21,1.82,19.02
2024-01-16,3,5,FedEx,STANDARD,8.87,22.3,19.2,10.7,4577.15,507.11,6.08,21.35
2023-01-03,9,2,USPS,STANDARD,1.56,14.6,9.6,2.1,291.31,1307.77,5.01,9.5
2024-04-25,2,4,Amazon_Logistics,OVERNIGHT,3.28,12.9,10.9,4.3,603.14,818.76,1.21,24.06
2023-02-28,7,1,DHL,EXPRESS,3.03,13.3,10.3,5.1,693.64,764.16,1.68,28.56
2024-06-18,8,5,DHL,PRIORITY,7.68,29.1,19.9,9.3,5352.88,1396.22,5.41,28.21
2023-03-26,8,3,OnTrac,ECONOMY,2.77,14.6,11.9,3.4,596.8,600.45,3.64,6.65
2023-09-08,9,1,USPS,ECONOMY,3.57,15.6,10.5,10.0,1631.25,634.07,7.12,6.86
2024-07-02,8,9,USPS,ECONOMY,0.8,11.4,6.9,2.3,184.13,323.29,9.24,10.22
2023-01-19,3,2,Amazon_Logistics,OVERNIGHT,0.74,10.2,7.5,2.0,155.0,145.24,1.4,25.14
2023-06-09,7,2,LaserShip,EXPRESS,0.49,11.6,7.0,2.6,214.4,499.97,2.62,16.48
2023-11-14,2,7,Amazon_Logistics,OVERNIGHT,4.51,16.4,11.3,7.8,1434.6,1171.51,1.71,29.45
2024-04-07,5,4,Amazon_Logistics,PRIORITY,5.31,16.6,11.2,9.1,1680.4,1435.22,4.64,17.04
2024-03-12,7,3,FedEx,PRIORITY,5.61,14.7,11.3,8.9,1478.81,1294.55,3.22,19.88
2023-12-05,2,1,DHL,PRIORITY,8.16,27.1,16.9,13.0,5951.88,1246.11,3.35,30.84
2024-04-07,2,9,Amazon_Logistics,OVERNIGHT,2.81,15.2,11.9,4.8,862.3,1016.71,2.3,25.05
