ship_date,origin_zone,dest_zone,carrier,service_level,transit_time_days
2023-01-01,EU_NORTH,CANADA_EAST,USPS,Express,5.4
2023-01-01,US_WEST,CANADA_WEST,USPS,Overnight,1.7
2023-01-01,US_EAST,CANADA_WEST,Global_Freight,Express,4.0
2023-01-01,OCEANIA,LATAM_SOUTH,DHL,Express,5.8
2023-01-01,CANADA_EAST,US_CENTRAL,Regional_Express,Priority,5.5
2023-01-01,LATAM_NORTH,ASIA_EAST,OnTrac,Ground,12.3
2023-01-01,CANADA_EAST,EU_SOUTH,UPS,Ground,14.1
2023-01-01,EU_EAST,ASIA_WEST,UPS,Express,4.1
2023-01-01,CANADA_EAST,US_WEST,OnTrac,Ground,8.8
2023-01-01,EU_SOUTH,AFRICA_NORTH,LaserShip,Priority,8.0
2023-01-01,CANADA_WEST,ASIA_EAST,FedEx,Ground,11.5
2023-01-01,CANADA_EAST,EU_SOUTH,FedEx,Ground,12.4
2023-01-01,EU_SOUTH,US_CENTRAL,OnTrac,Priority,8.4
2023-01-01,ASIA_EAST,EU_SOUTH,OnTrac,Ground,12.6
2023-01-01,EU_WEST,US_CENTRAL,DHL,Express,4.0
2023-01-01,US_EAST,EU_EAST,OnTrac,Express,6.8
2023-01-01,ASIA_EAST,OCEANIA,TNT,Ground,11.3
2023-01-01,EU_WEST,EU_SOUTH,TNT,Ground,6.5
2023-01-02,US_WEST,ASIA_WEST,TNT,Priority,7.5
2023-01-02,ASIA_WEST,EU_NORTH,FedEx,Overnight,2.7
2023-01-02,CANADA_WEST,ASIA_EAST,USPS,Ground,12.3
2023-01-02,US_EAST,ASIA_WEST,Amazon_Logistics,Ground,11.2
2023-01-02,ASIA_EAST,AFRICA_SOUTH,OnTrac,Ground,11.9
2023-01-02,US_WEST,US_SOUTH,FedEx,Ground,4.1
2023-01-02,AFRICA_NORTH,AFRICA_SOUTH,FedEx,Overnight,
2023-01-02,US_EAST,US_CENTRAL,Global_Freight,Express,3.0
2023-01-02,EU_EAST,US_SOUTH,Amazon_Logistics,Ground,11.1
2023-01-02,EU_WEST,US_WEST,FedEx,Express,4.2
2023-01-02,ASIA_EAST,EU_EAST,TNT,Express,4.8
2023-01-02,US_CENTRAL,EU_SOUTH,FedEx,Ground,11.9
2023-01-02,EU_SOUTH,EU_NORTH,Regional_Express,Overnight,1.4
2023-01-02,AFRICA_SOUTH,ASIA_SOUTH,Global_Freight,Ground,12.6
2023-01-02,OCEANIA,AFRICA_SOUTH,Regional_Express,Ground,12.7
2023-01-02,ASIA_EAST,US_CENTRAL,DHL,Priority,7.4
2023-01-02,US_EAST,CANADA_EAST,DHL,Overnight,2.3
2023-01-02,OCEANIA,US_CENTRAL,UPS,Overnight,3.3
2023-01-02,LATAM_NORTH,US_WEST,FedEx,Express,3.9
2023-01-02,US_SOUTH,US_EAST,TNT,Express,2.3
2023-01-02,EU_SOUTH,EU_NORTH,DHL,Priority,3.2
2023-01-02,LATAM_NORTH,EU_EAST,DHL,Overnight,2.1
2023-01-02,EU_SOUTH,US_WEST,FedEx,Ground,12.2
2023-01-02,EU_WEST,AFRICA_NORTH,DHL,Ground,12.6
2023-01-02,AFRICA_NORTH,AFRICA_SOUTH,Amazon_Logistics,Overnight,1.0
2023-01-02,US_CENTRAL,ASIA_SOUTH,FedEx,Overnight,2.4
2023-01-02,LATAM_NORTH,US_CENTRAL,OnTrac,Overnight,3.2
2023-01-02,US_EAST,US_SOUTH,Regional_Express,Ground,5.4
2023-01-02,ASIA_SOUTH,US_CENTRAL,Amazon_Logistics,Express,4.9
2023-01-02,US_WEST,ASIA_WEST,FedEx,Priority,6.1
2023-01-02,EU_SOUTH,US_EAST,Global_Freight,Ground,13.2
2023-01-02,US_CENTRAL,LATAM_NORTH,OnTrac,Ground,13.2
2023-01-02,US_SOUTH,LATAM_NORTH,DHL,Ground,11.9
2023-01-02,LATAM_SOUTH,US_WEST,OnTrac,Ground,12.0
2023-01-02,AFRICA_NORTH,ASIA_SOUTH,FedEx,Priority,6.1
2023-01-02,EU_SOUTH,CANADA_WEST,OnTrac,Overnight,3.1
2023-01-02,US_SOUTH,EU_NORTH,OnTrac,Ground,13.5
2023-01-02,EU_SOUTH,AFRICA_NORTH,Global_Freight,Overnight,4.9
2023-01-02,AFRICA_NORTH,EU_WEST,USPS,Ground,12.1
2023-01-02,US_EAST,US_WEST,Amazon_Logistics,Ground,4.4
2023-01-02,OCEANIA,EU_SOUTH,USPS,Overnight,3.3
2023-01-02,US_CENTRAL,CANADA_WEST,DHL,Express,4.1
2023-01-02,EU_WEST,LATAM_SOUTH,TNT,Ground,11.9
2023-01-02,EU_WEST,CANADA_WEST,Global_Freight,Ground,12.7
2023-01-02,OCEANIA,EU_NORTH,Global_Freight,Ground,14.1
2023-01-02,ASIA_SOUTH,EU_WEST,TNT,Priority,6.8
2023-01-02,ASIA_SOUTH,US_EAST,OnTrac,Express,5.8
2023-01-02,US_WEST,AFRICA_SOUTH,TNT,Priority,
2023-01-02,CANADA_EAST,US_CENTRAL,USPS,Express,4.3
2023-01-02,CANADA_EAST,US_CENTRAL,LaserShip,Priority,3.4
2023-01-02,ASIA_SOUTH,CANADA_EAST,LaserShip,Ground,12.2
2023-01-02,ASIA_SOUTH,US_WEST,OnTrac,Ground,12.4
2023-01-02,US_SOUTH,LATAM_NORTH,Regional_Express,Overnight,3.6
2023-01-02,US_SOUTH,ASIA_WEST,LaserShip,Ground,12.1
2023-01-02,US_CENTRAL,AFRICA_SOUTH,LaserShip,Priority,7.2
2023-01-02,EU_WEST,CANADA_WEST,OnTrac,Ground,12.0
2023-01-02,US_CENTRAL,ASIA_SOUTH,Regional_Express,Ground,12.4
2023-01-02,CANADA_WEST,AFRICA_SOUTH,Regional_Express,Ground,14.2
2023-01-02,CANADA_EAST,ASIA_EAST,USPS,Ground,13.2
2023-01-02,EU_WEST,US_CENTRAL,TNT,Express,5.5
2023-01-02,US_SOUTH,AFRICA_NORTH,OnTrac,Priority,7.3
2023-01-02,LATAM_NORTH,EU_WEST,UPS,Priority,6.3
2023-01-02,LATAM_SOUTH,CANADA_EAST,Amazon_Logistics,Express,4.8
2023-01-02,EU_NORTH,LATAM_SOUTH,Global_Freight,Priority,8.0
2023-01-02,ASIA_EAST,US_WEST,TNT,Ground,11.3
2023-01-03,CANADA_EAST,EU_NORTH,Global_Freight,Ground,
2023-01-03,EU_NORTH,US_CENTRAL,TNT,Ground,12.7
2023-01-03,EU_SOUTH,ASIA_SOUTH,DHL,Priority,6.0
2023-01-03,CANADA_WEST,AFRICA_SOUTH,Global_Freight,Ground,11.7
2023-01-03,CANADA_EAST,LATAM_NORTH,USPS,Overnight,3.8
2023-01-03,OCEANIA,ASIA_WEST,Regional_Express,Overnight,4.0
2023-01-03,AFRICA_SOUTH,LATAM_SOUTH,FedEx,Express,4.0
2023-01-03,US_CENTRAL,AFRICA_NORTH,LaserShip,Priority,7.3
2023-01-03,EU_SOUTH,US_SOUTH,Global_Freight,Express,5.7
2023-01-03,AFRICA_SOUTH,EU_WEST,TNT,Overnight,2.0
2023-01-03,CANADA_WEST,AFRICA_NORTH,DHL,Ground,12.2
2023-01-03,EU_EAST,EU_WEST,UPS,Express,2.1
2023-01-03,CANADA_WEST,EU_WEST,FedEx,Ground,11.4
2023-01-03,US_EAST,OCEANIA,Amazon_Logistics,Ground,10.9
2023-01-03,AFRICA_NORTH,CANADA_WEST,Regional_Express,Ground,13.3
2023-01-03,US_CENTRAL,US_EAST,USPS,Ground,5.3
2023-01-03,EU_WEST,EU_NORTH,OnTrac,Overnight,1.1
2023-01-03,EU_WEST,EU_EAST,Regional_Express,Priority,2.9
2023-01-03,LATAM_NORTH,US_EAST,TNT,Overnight,2.7
2023-01-03,US_EAST,AFRICA_SOUTH,Amazon_Logistics,Priority,6.8
