ship_date,origin_zip,dest_zip,origin_zone,dest_zone,carrier,service_level,package_weight_lbs,package_length_in,package_width_in,package_height_in,transit_time_days,shipping_cost_usd
2023-01-01,48096,50084,7,5,OnTrac,Priority,8.0,10.3,5.9,6.2,3.0,24.33
2023-01-01,33058,83068,8,2,LaserShip,Ground,1.28,6.1,3.2,6.2,9.0,22.45
2023-01-01,10082,30027,8,7,OnTrac,Overnight,0.9,5.7,4.3,6.7,1.0,66.69
2023-01-01,55045,60013,5,6,Regional_Express,Ground,26.53,19.0,11.8,11.5,6.5,31.32
2023-01-01,48062,10035,7,8,Regional_Express,Overnight,0.36,7.4,3.9,2.9,1.0,51.3
2023-01-01,33072,90090,8,4,USPS,Priority,2.65,9.5,5.7,5.1,4.9,24.84
2023-01-01,60032,80097,6,4,LaserShip,Express,0.34,7.3,3.0,5.3,4.6,27.12
2023-01-01,90036,90088,4,4,UPS,Ground,1.8,6.0,5.4,2.0,4.4,10.03
2023-01-01,20045,90041,8,4,DHL,Express,3.34,7.8,3.5,5.8,2.5,54.55
2023-01-01,20071,50098,8,5,USPS,Ground,1.28,5.7,6.7,3.4,6.0,13.22
2023-01-01,80046,14060,4,7,DHL,Ground,0.85,5.3,5.4,2.0,5.2,19.95
2023-01-01,30011,90065,7,4,Regional_Express,Ground,1.75,11.3,5.0,4.4,5.8,14.52
2023-01-01,40064,50065,6,5,Amazon_Logistics,Ground,0.74,8.8,6.7,5.9,26.955147258571373,11.14
2023-01-01,90029,70045,4,7,USPS,Ground,0.35,6.2,3.6,4.4,6.3,12.6
2023-01-01,90066,33059,4,8,Regional_Express,Overnight,1.15,7.4,6.4,4.6,1.0,87.8
2023-01-01,90078,20041,4,8,UPS,Express,0.48,4.0,5.6,4.1,4.0,41.09
2023-01-01,40045,30093,6,7,Regional_Express,Express,2.91,6.5,5.3,2.0,2.6,24.51
2023-01-01,10017,90076,8,4,OnTrac,Express,0.69,6.5,3.3,2.5,3.3,34.67
2023-01-02,10039,14037,8,7,OnTrac,Express,1.14,7.3,8.6,3.8,2.3,25.14
2023-01-02,90046,10055,4,8,LaserShip,Overnight,0.71,4.0,4.4,5.1,1.5,75.09
2023-01-02,70067,40055,7,6,Regional_Express,Ground,1.75,4.3,5.7,4.8,5.1,12.43
2023-01-02,30051,10059,7,8,Regional_Express,Priority,1.69,8.2,7.1,3.9,4.3,16.41
2023-01-02,90085,33024,4,8,FedEx,Ground,1.94,4.9,5.2,3.1,3.6,25.19
2023-01-02,70095,60061,7,6,Regional_Express,Ground,2.35,4.0,6.7,3.2,5.2,11.58
2023-01-02,97056,05064,5,8,USPS,Ground,0.45,4.0,3.9,5.0,5.9,11.81
