ship_date,origin_zone,dest_zone,carrier,service_level,transit_time_days
2023-01-01,Zone_7,Zone_5,UPS,STANDARD,3.3
2023-01-01,Zone_6,Zone_1,FedEx,OVERNIGHT,3.3
2023-01-01,Zone_5,Zone_6,LaserShip,EXPRESS,2.4
2023-01-01,Zone_3,Zone_3,Amazon_Logistics,PRIORITY,1.6
2023-01-01,Zone_3,Zone_6,FedEx,EXPRESS,2.5
2023-01-01,Zone_9,Zone_1,DHL,STANDARD,10.5
2023-01-01,Zone_7,Zone_7,DHL,ECONOMY,2.6
2023-01-01,Zone_2,Zone_3,Amazon_Logistics,STANDARD,2.6
2023-01-01,Zone_2,Zone_6,Regional_Express,PRIORITY,6.0
2023-01-01,Zone_7,Zone_6,Amazon_Logistics,PRIORITY,2.9
2023-01-01,Zone_2,Zone_4,Amazon_Logistics,EXPRESS,3.0
2023-01-01,Zone_1,Zone_1,Regional_Express,EXPRESS,2.0
2023-01-01,Zone_8,Zone_1,FedEx,STANDARD,9.7
2023-01-01,Zone_7,Zone_7,DHL,PRIORITY,3.9
2023-01-01,Zone_2,Zone_1,OnTrac,STANDARD,4.8
2023-01-01,Zone_3,Zone_4,USPS,STANDARD,4.9
2023-01-01,Zone_5,Zone_5,FedEx,ECONOMY,1.2
2023-01-01,Zone_3,Zone_1,Regional_Express,EXPRESS,3.0
2023-01-02,Zone_7,Zone_5,FedEx,ECONOMY,4.1
2023-01-02,Zone_9,Zone_3,DHL,EXPRESS,3.9
2023-01-02,Zone_4,Zone_8,USPS,EXPRESS,2.6
2023-01-02,Zone_9,Zone_9,LaserShip,ECONOMY,3.2
2023-01-02,Zone_6,Zone_6,DHL,EXPRESS,1.0
2023-01-02,Zone_8,Zone_9,Regional_Express,STANDARD,3.5
2023-01-02,Zone_8,Zone_8,USPS,STANDARD,2.0
2023-01-02,Zone_5,Zone_3,USPS,STANDARD,3.2
2023-01-02,Zone_2,Zone_4,UPS,STANDARD,3.9
2023-01-02,Zone_2,Zone_4,OnTrac,EXPRESS,2.2
2023-01-02,Zone_7,Zone_7,Regional_Express,ECONOMY,4.0
2023-01-02,Zone_5,Zone_6,UPS,EXPRESS,1.2
2023-01-02,Zone_1,Zone_1,DHL,EXPRESS,1.6
2023-01-02,Zone_4,Zone_1,UPS,EXPRESS,2.9
2023-01-02,Zone_4,Zone_6,FedEx,STANDARD,3.0
2023-01-02,Zone_8,Zone_3,USPS,STANDARD,7.8
2023-01-02,Zone_2,Zone_8,FedEx,ECONOMY,8.9
2023-01-02,Zone_9,Zone_7,USPS,STANDARD,3.4
2023-01-02,Zone_5,Zone_8,Regional_Express,EXPRESS,3.0
2023-01-02,Zone_3,Zone_7,USPS,EXPRESS,2.3
2023-01-02,Zone_8,Zone_8,OnTrac,PRIORITY,2.6
2023-01-02,Zone_3,Zone_3,USPS,PRIORITY,2.6
2023-01-02,Zone_2,Zone_2,USPS,EXPRESS,1.5
2023-01-02,Zone_4,Zone_6,Amazon_Logistics,STANDARD,4.5
2023-01-02,Zone_4,Zone_4,Regional_Express,OVERNIGHT,1.1
2023-01-02,Zone_3,Zone_5,OnTrac,STANDARD,4.9
2023-01-02,Zone_6,Zone_9,Amazon_Logistics,EXPRESS,2.7
2023-01-02,Zone_1,Zone_4,Amazon_Logistics,EXPRESS,3.2
2023-01-02,Zone_3,Zone_5,OnTrac,ECONOMY,4.4
2023-01-02,Zone_3,Zone_6,Amazon_Logistics,PRIORITY,2.7
2023-01-02,Zone_1,Zone_4,USPS,EXPRESS,2.5
2023-01-02,Zone_3,Zone_2,LaserShip,EXPRESS,2.1
2023-01-02,Zone_6,Zone_7,OnTrac,EXPRESS,2.4
2023-01-02,Zone_7,Zone_3,FedEx,EXPRESS,2.1
2023-01-02,Zone_1,Zone_7,FedEx,STANDARD,7.7
2023-01-02,Zone_7,Zone_5,Regional_Express,STANDARD,5.5
2023-01-02,Zone_7,Zone_6,Regional_Express,ECONOMY,5.3
2023-01-02,Zone_3,Zone_3,FedEx,STANDARD,2.0
2023-01-02,Zone_7,Zone_7,USPS,STANDARD,2.1
2023-01-02,Zone_4,Zone_1,UPS,STANDARD,4.8
2023-01-02,Zone_5,Zone_5,DHL,ECONOMY,3.5
2023-01-02,Zone_6,Zone_1,LaserShip,EXPRESS,
2023-01-02,Zone_3,Zone_5,OnTrac,OVERNIGHT,1.3
2023-01-02,Zone_3,Zone_7,DHL,STANDARD,6.4
2023-01-02,Zone_7,Zone_4,DHL,STANDARD,5.1
2023-01-02,Zone_5,Zone_1,LaserShip,PRIORITY,4.0
2023-01-02,Zone_2,Zone_2,Regional_Express,STANDARD,2.7
2023-01-02,Zone_5,Zone_6,DHL,EXPRESS,3.3
2023-01-02,Zone_3,Zone_6,FedEx,STANDARD,4.4
2023-01-02,Zone_5,Zone_5,OnTrac,STANDARD,3.2
2023-01-02,Zone_5,Zone_4,LaserShip,EXPRESS,2.2
2023-01-02,Zone_3,Zone_4,Amazon_Logistics,ECONOMY,3.9
2023-01-02,Zone_4,Zone_5,DHL,PRIORITY,2.8
2023-01-02,Zone_2,Zone_4,Amazon_Logistics,STANDARD,4.1
2023-01-03,Zone_3,Zone_7,DHL,OVERNIGHT,1.9
2023-01-03,Zone_2,Zone_1,LaserShip,EXPRESS,2.0
2023-01-03,Zone_1,Zone_5,UPS,STANDARD,5.1
2023-01-03,Zone_9,Zone_6,FedEx,OVERNIGHT,2.1
2023-01-03,Zone_8,Zone_8,USPS,ECONOMY,2.6
2023-01-03,Zone_8,Zone_8,Regional_Express,PRIORITY,2.3
2023-01-03,Zone_4,Zone_4,Amazon_Logistics,ECONOMY,3.1
2023-01-03,Zone_1,Zone_5,UPS,OVERNIGHT,1.6
2023-01-03,Zone_9,Zone_6,Amazon_Logistics,EXPRESS,1.6
2023-01-03,Zone_3,Zone_3,USPS,STANDARD,2.0
2023-01-03,Zone_3,Zone_1,Amazon_Logistics,STANDARD,4.8
2023-01-03,Zone_5,Zone_3,UPS,STANDARD,4.2
2023-01-03,Zone_5,Zone_7,LaserShip,ECONOMY,5.1
2023-01-03,Zone_5,Zone_7,UPS,EXPRESS,1.7
2023-01-03,Zone_2,Zone_9,OnTrac,OVERNIGHT,3.3
2023-01-03,Zone_7,Zone_5,USPS,STANDARD,4.0
2023-01-03,Zone_2,Zone_8,Regional_Express,STANDARD,7.8
2023-01-03,Zone_1,Zone_7,LaserShip,STANDARD,8.4
2023-01-03,Zone_9,Zone_7,DHL,STANDARD,4.1
2023-01-03,Zone_6,Zone_7,UPS,STANDARD,3.6
2023-01-03,Zone_7,Zone_5,DHL,STANDARD,4.9
2023-01-03,Zone_8,Zone_3,USPS,EXPRESS,3.0
2023-01-03,Zone_3,Zone_5,Regional_Express,PRIORITY,2.9
2023-01-03,Zone_1,Zone_2,DHL,PRIORITY,1.8
2023-01-03,Zone_5,Zone_1,UPS,PRIORITY,3.6
2023-01-03,Zone_4,Zone_1,USPS,STANDARD,5.1
2023-01-03,Zone_1,Zone_4,DHL,EXPRESS,3.1
2023-01-03,Zone_5,Zone_3,FedEx,STANDARD,4.0
2023-01-03,Zone_8,Zone_5,DHL,EXPRESS,2.2
2023-01-03,Zone_3,Zone_7,Regional_Express,PRIORITY,4.8
2023-01-03,Zone_5,Zone_6,Regional_Express,EXPRESS,3.2
2023-01-03,Zone_1,Zone_3,USPS,OVERNIGHT,1.0
2023-01-03,Zone_6,Zone_8,Amazon_Logistics,EXPRESS,1.9
2023-01-03,Zone_5,Zone_9,Amazon_Logistics,EXPRESS,2.6
2023-01-03,Zone_5,Zone_9,OnTrac,ECONOMY,7.1
2023-01-03,Zone_1,Zone_8,OnTrac,EXPRESS,4.5
2023-01-03,Zone_1,Zone_5,FedEx,EXPRESS,2.1
2023-01-03,Zone_2,Zone_4,FedEx,ECONOMY,4.3
2023-01-03,Zone_1,Zone_4,Regional_Express,EXPRESS,3.5
2023-01-03,Zone_7,Zone_8,FedEx,EXPRESS,2.0
2023-01-03,Zone_3,Zone_8,FedEx,EXPRESS,3.5
2023-01-03,Zone_3,Zone_8,OnTrac,STANDARD,7.4
2023-01-03,Zone_1,Zone_6,Amazon_Logistics,STANDARD,7.3
2023-01-03,Zone_4,Zone_4,USPS,ECONOMY,3.2
2023-01-03,Zone_4,Zone_4,UPS,PRIORITY,1.0
2023-01-03,Zone_3,Zone_4,Regional_Express,EXPRESS,2.6
2023-01-03,Zone_6,Zone_7,Regional_Express,STANDARD,3.2
2023-01-03,Zone_3,Zone_4,Amazon_Logistics,PRIORITY,2.6
2023-01-03,Zone_3,Zone_1,Amazon_Logistics,STANDARD,3.4
2023-01-03,Zone_6,Zone_2,FedEx,EXPRESS,2.2
2023-01-03,Zone_2,Zone_1,LaserShip,STANDARD,3.1
2023-01-04,Zone_1,Zone_2,USPS,ECONOMY,3.9
2023-01-04,Zone_3,Zone_2,FedEx,STANDARD,2.4
2023-01-04,Zone_7,Zone_6,FedEx,OVERNIGHT,1.0
2023-01-04,Zone_8,Zone_3,DHL,OVERNIGHT,2.4
2023-01-04,Zone_2,Zone_3,LaserShip,EXPRESS,2.7
2023-01-04,Zone_9,Zone_8,OnTrac,STANDARD,3.9
2023-01-04,Zone_9,Zone_9,DHL,EXPRESS,1.3
2023-01-04,Zone_3,Zone_5,LaserShip,EXPRESS,3.2
2023-01-04,Zone_8,Zone_7,FedEx,EXPRESS,1.8
2023-01-04,Zone_9,Zone_5,UPS,ECONOMY,6.0
2023-01-04,Zone_6,Zone_6,OnTrac,STANDARD,2.6
2023-01-04,Zone_5,Zone_2,OnTrac,STANDARD,
2023-01-04,Zone_8,Zone_9,UPS,STANDARD,2.5
2023-01-04,Zone_8,Zone_8,UPS,PRIORITY,1.8
2023-01-04,Zone_4,Zone_1,OnTrac,PRIORITY,3.8
2023-01-04,Zone_8,Zone_8,FedEx,ECONOMY,2.6
2023-01-04,Zone_3,Zone_7,FedEx,STANDARD,6.4
2023-01-04,Zone_6,Zone_7,USPS,STANDARD,3.1
2023-01-04,Zone_6,Zone_6,DHL,STANDARD,3.1
2023-01-04,Zone_3,Zone_1,Amazon_Logistics,STANDARD,3.5
2023-01-04,Zone_9,Zone_8,Regional_Express,EXPRESS,3.0
